Company,Product,Label,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,PlotLocation,Hide,AI Model,Updated,Notes,ReferenceURL,Reference
NVIDIA,Tesla K80,K80,8.74E+12,float,300,GPU,Training,Card,SE,,Raw FLOPS,9/21/18,Power and performance numbers are from table on the anandtech web page,https://www.anandtech.com/show/8729/nvidia-launches-tesla-k80-gk210-gpu,
NVIDIA,Pascal NVMe,P100,2.12E+13,half,300,GPU,Training,Card,SE,,,9/21/18,Power and performance numbers are from table on the nvidia and anandtech web pages,https://www.nvidia.com/en-us/data-center/tesla-p100/;https://www.anandtech.com/show/12809/16gb-nvidia-tesla-v100-gets-reprieve-remains-in-production,
NVIDIA,Volta NVMe,V100,1.25E+14,AI,300,GPU,Training,Card,SE,,,9/21/18,Power and performance numbers are from table on the nvidia and anandtech web pages,https://www.nvidia.com/en-us/data-center/tesla-v100/;https://www.anandtech.com/show/12809/16gb-nvidia-tesla-v100-gets-reprieve-remains-in-production,
NVIDIA,DGX-1,DGX-1,9.60E+14,AI,3500,GPU,Training,System,SE,,,10/2/18,Power and performance numbers are from table on the anandtech web page,https://www.anandtech.com/show/12587/nvidias-dgx2-sixteen-v100-gpus-30-tb-of-nvme-only-400k,
NVIDIA,DGX-2,DGX-2,1.92E+15,AI,10000,GPU,Training,System,SE,,,10/2/18,Power and performance numbers are from table on the anandtech web page,https://www.anandtech.com/show/12587/nvidias-dgx2-sixteen-v100-gpus-30-tb-of-nvme-only-400k,
NVIDIA,DGX Station,DGX-Station,4.80E+14,AI,1500,GPU,Training,System,SE,,,10/2/18,Workstation with 4 x Tesla V100. Performance and power numbers are on cluster vision web page.,https://clustervision.com/solutions/cluster-design/nvidia-dgx-station/,
NVIDIA,Jetson1,Jetson1,4.08E+11,AI,11.7,GPU,Inference,System,SE,,,10/2/18,Denver-based Maxwell GPU (ARMs + GPU). Performance numbers on nvidia blog page. ,https://devblogs.nvidia.com/jetson-tx2-delivers-twice-intelligence-edge/,
NVIDIA,Jetson2,Jetson2,5.80E+11,AI,12.8,GPU,Inference,System,SE,,,10/2/18,Parker = Pascal-based GPU. Performance numbers on nvidia blog page. ,https://devblogs.nvidia.com/jetson-tx2-delivers-twice-intelligence-edge/,
NVIDIA,Jetson Xavier,Xavier,1.00E+13,half,30,GPU,Inference,System,SE,,,10/2/18,Tegra processor with Volta for automotive market. Performance and power numbers from the extremetech web page. ,https://www.extremetech.com/computing/270681-nvidias-jetson-xavier-stuffs-volta-performance-into-tiny-form-factor,
NVIDIA,Turing Quadro RTX 6000,Turing,1.31E+14,int8,260,GPU,Inference,Card,SE,,Raw FLOPS,10/24/18,Reported TDP and FLOPS from Blog post (ref 1).,https://devblogs.nvidia.com/nvidia-turing-architecture-in-depth/,
