Company,Product,Label,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,PlotLocation,Hide,Updated,Notes,ReferenceURL,Reference
Achronix,VectorPath S7t-VG6,Achronix,8.60E+13,int8,300,dataflow,inference,Card,SE,,6/12/20,,https://www.eetimes.com/fpga-acceleration-card-delivers-on-bandwidth-speed-and-flexibility/,roos2019fpga
Adapteva,Epiphany-V,Adaptiva,2.05E+12,fp32,29.26,multicore,inference,Chip,SW,Hide,6/9/20,,https://arxiv.org/abs/1610.01832;https://doi.org/10.1109/ACSSC.2014.7094761,olofsson2016epiphany;olofsson2015kickstarting
Aimotive,aiWare3,Aimotive,1.00E+14,int8,25,dataflow,inference,Chip,SW,,6/2/20,,https://aimotive.com/news/content/1223,aimotive2018aiware3
"AIStorm	",AIStorm,AIStorm,2.50E+12,int8,0.225,dataflow,inference,Chip,SW,,6/9/20,Claim to do some of the math up at the sensor in analog domain. Originally came to the embedded space scene with biometric sensors and processing.,https://www.eetimes.com/startup-accelerates-ai-at-the-sensor/,merritt2019aistorm
Alibaba,HanGuang 800,Alibaba,3.14E+14,int8,157.126,dataflow,inference,Card,NE,,6/14/20,no peak,https://medium.com/syncedreview/alibabas-new-ai-chip-can-process-nearly-80k-images-per-second-63412dec22a3,peng2019alibaba
AlphaIC,RAP-C,AlphaIC,6.00E+13,int8,40,dataflow,inference,System,SW,Hide,6/2/20,,https://www.alphaics.ai/alphaics-introduces-worlds-most-powerful-ai-platform-alphaedgetm-for-l2-driverless-cars-and-autonomous-systems/,trivedi2019alphaics
AlphaIC,RAP-E,AlphaIC,3.00E+13,int8,3,dataflow,inference,Chip,NW,,6/13/20,,https://www.eenewsanalog.com/news/indo-us-startup-preps-agent-based-ai-processor/page/0/1,clarke2018indo
Amazon,Inferentia,AWS,1.28E+14,int8,200,dataflow,inference,Card,SE,,6/14/20,,https://perspectives.mvdirona.com/2018/11/aws-inferentia-machine-learning-processor/;https://www.cloudmanagementinsider.com/amazon-inferentia-for-machine-learning-and-artificial-intelligence/,hamilton2018aws;cloud2020deep
AMD,Radeon Instinct MI6,AMD-MI8,8.19E+12,fp16,150,GPU,inference,Card,SE,Hide,6/14/20,,https://blog.exxactcorp.com/taking-deeper-look-amd-radeon-instinct-gpus-deep-learning/,exxactcorp2017taking
AMD,Radeon Instinct MI60,AMD-MI60,2.95E+13,fp16,300,GPU,training,Card,SE,Hide,6/9/20,,https://www.anandtech.com/show/13562/amd-announces-radeon-instinct-mi60-mi50-accelerators-powered-by-7nm-vega,smith2018amd
