Company,Product,Label,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,PlotLocation,Hide,PlotLocationZ,HideZ,Updated,Notes,ReferenceURL,Reference
Achronix,VectorPath S7t-VG6,Achronix,8.60E+13,int8,300,FPGA,inference,Card,SE,,SW,,6/12/20,,https://www.eetimes.com/fpga-acceleration-card-delivers-on-bandwidth-speed-and-flexibility/,roos2019fpga
Adapteva,Epiphany-V,Adaptiva,2.05E+12,fp32,29.26,multicore,inference,Chip,SW,Hide,SW,Hide,6/9/20,,https://arxiv.org/abs/1610.01832;https://doi.org/10.1109/ACSSC.2014.7094761,olofsson2016epiphany;olofsson2015kickstarting
Aimotive,aiWare3,Aimotive,1.00E+14,int8,25,dataflow,inference,Chip,SW,,SW,,6/2/20,,https://aimotive.com/news/content/1223,aimotive2018aiware3
"AIStorm	",AIStorm,AIStorm,2.50E+12,int8,0.225,dataflow,inference,Chip,SW,,SW,,6/9/20,Claim to do some of the math up at the sensor in analog domain. Originally came to the embedded space scene with biometric sensors and processing.,https://www.eetimes.com/startup-accelerates-ai-at-the-sensor/,merritt2019aistorm
Alibaba,HanGuang 800,Alibaba,3.14252E+14,int8,157.126,tensor,inference,Card,NE,,NE,,6/14/20,no peak,https://medium.com/syncedreview/alibabas-new-ai-chip-can-process-nearly-80k-images-per-second-63412dec22a3,peng2019alibaba
AlphaIC,RAP-C,AlphaIC,6.00E+13,int8,40,dataflow,inference,System,SW,Hide,SW,Hide,6/2/20,,https://www.alphaics.ai/alphaics-introduces-worlds-most-powerful-ai-platform-alphaedgetm-for-l2-driverless-cars-and-autonomous-systems/,trivedi2019alphaics
AlphaIC,RAP-E,AlphaIC,3.00E+13,int8,3,dataflow,inference,Chip,NW,,NW,,6/13/20,,https://www.eenewsanalog.com/news/indo-us-startup-preps-agent-based-ai-processor/page/0/1,clarke2018indo
Amazon,Inferentia,AWSi1,1.28E+14,int8,200,CPU,inference,Card,SE,,SW,,6/14/20,,https://perspectives.mvdirona.com/2018/11/aws-inferentia-machine-learning-processor/;https://www.cloudmanagementinsider.com/amazon-inferentia-for-machine-learning-and-artificial-intelligence/,hamilton2018aws;cloud2020deep
AMD,Radeon Instinct MI6,AMD-MI8,8.19E+12,fp16,150,GPU,inference,Card,SE,Hide,SE,Hide,6/14/20,,https://blog.exxactcorp.com/taking-deeper-look-amd-radeon-instinct-gpus-deep-learning/,exxactcorp2017taking
AMD,Radeon Instinct MI60,AMD-MI60,2.95E+13,fp16,300,GPU,training,Card,SE,Hide,SE,Hide,6/9/20,,https://www.anandtech.com/show/13562/amd-announces-radeon-instinct-mi60-mi50-accelerators-powered-by-7nm-vega,smith2018amd
AMD,MI100,AMD-MI100,9.23E+13,fp16,300,GPU,training,Card,SE,,NW,,7/31/23,,https://www.anandtech.com/show/17054/amd-announces-instinct-mi200-accelerator-family-cdna2-exacale-servers,smith2021amd
AMD,MI210,AMD-MI210,1.81E+14,fp16,300,GPU,training,Card,SE,,SW,,7/31/23,,https://www.anandtech.com/show/17054/amd-announces-instinct-mi200-accelerator-family-cdna2-exacale-servers,smith2021amd
AMD,MI250,AMD-MI250,3.62E+14,fp16,550,GPU,training,Card,SE,,SE,,7/31/23,,https://www.anandtech.com/show/17054/amd-announces-instinct-mi200-accelerator-family-cdna2-exacale-servers,smith2021amd
AMD,MI300,AMD-MI300,7.66E+14,fp16,700,GPU,training,Card,SE,,SE,,7/31/23,,https://www.nextplatform.com/2023/06/14/the-third-time-charm-of-amds-instinct-gpu/,morgan2023third
ARM,Ethos N77,Ethos,4.10E+12,int8,0.8,dataflow,inference,Chip,SW,,SW,,6/13/20,,https://fuse.wikichip.org/news/3282/arm-ethos-is-for-ubiquitous-ai-at-the-edge/,schor2020arm
Axelera,Axelera Test Core,Axelera,3.91E+13,int8,2.79,dataflow,inference,Chip,NW,,NW,,7/9/22,Test chip,https://www.eetimes.com/axelera-demos-ai-test-chip-after-taping-out-in-four-months/,ward2022axelera
Baidu,Baidu Kunlun 200,Baidu-K1,6.40E+13,fp16,160,CGRA,training,Chip,S,,S,,7/1/21,Baidu claims the FLOPs and power numbers in the zdnet article. The chip has been deployed in Baidu data centers as FPGAs and are being converted to ASICs. No release data has been mentioned in the press. ,https://doi.org/10.1109/ISSCC42613.2021.9366056;https://www.eetimes.com/baidu-accelerator-rises-in-ai/;https://www.zdnet.com/article/baidu-creates-kunlun-silicon-for-ai/,ouyang2021kunlun;merritt2018baidu;duckett2018baidu
Baidu,Baidu Kunlun II,Baidu-K2,1.92E+14,fp16,120,CGRA,training,Chip,S,,SW,,7/31/23,,https://www.tomshardware.com/news/baidu-unveils-kunlun-ii-processor-for-ai,shilov2021baidu
Biren Technology,br100,br100,1.02E+15,fp16,550,GPU,training,Card,SW,,SW,,7/31/23,,https://www.hpcwire.com/2022/08/22/chinese-startup-biren-details-br100-gpu/;https://www.tomshardware.com/news/biren-mulls-ipo,peckham2022chinese;shilov2023chinese
Biren Technology,br104,br104,5.12E+14,fp16,300,GPU,training,Card,SW,,SW,,7/31/23,,https://www.hpcwire.com/2022/08/22/chinese-startup-biren-details-br100-gpu/;https://www.tomshardware.com/news/biren-mulls-ipo,peckham2022chinese;shilov2023chinese
Bitmain,BM1880,Bitmain,1.00E+12,int8,2.5,dataflow,inference,Chip,NE,,NE,,6/13/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5975&year=2019&tag=3,wheeler2019bitmain
Blaize,El Cano,Blaize,1.60E+12,int8,7,dataflow,inference,Card,NE,,NE,,6/13/21,,https://www.blaize.com/wp-content/uploads/2020/09/Blaize-Ignites-Edge-AI-Performance.pdf,demler2020blaize
Cambricon,MLU100,Cambricon,6.40E+13,fp16,80,dataflow,training,Card,SW,Hide,SW,Hide,6/2/20,,https://www.chinamoneynetwork.com/2018/05/04/chinese-ai-chip-maker-cambricon-unveils-new-cloud-based-smart-chip;https://www.anandtech.com/show/12815/cambricon-makers-of-huaweis-kirin-npu-ip-build-a-big-ai-chip-and-pcie-card,wu2018chinese;cutress2018cambricon
Cambricon,MLU100,Cambricon,1.28E+14,int8,80,dataflow,inference,Card,NW,Hide,NW,Hide,6/2/20,,https://www.chinamoneynetwork.com/2018/05/04/chinese-ai-chip-maker-cambricon-unveils-new-cloud-based-smart-chip;https://www.anandtech.com/show/12815/cambricon-makers-of-huaweis-kirin-npu-ip-build-a-big-ai-chip-and-pcie-card,wu2018chinese;cutress2018cambricon
Canaan,Kendrite K210,Kendryte,2.30E+11,int8,0.3,CPU,inference,Chip,NW,,NW,,6/9/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5992,gwennap2019kendryte
Cerebras,CS-1,CS-1,1.64E+15,fp16,15000,CGRA,training,System,SE,,SE,,6/11/20,Estimated peak,https://www.cerebras.net/introducing-the-cerebras-cs-1-the-industrys-fastest-artificial-intelligence-computer/,hock2019introducing
Cerebras,CS-2,CS-2,3.40E+15,fp16,23000,CGRA,training,System,SW,,SW,,5/24/21,Estimated peak,https://www.hpcwire.com/2021/04/20/cerebras-doubles-ai-performance-with-second-gen-7nm-wafer-scale-engine/,trader2021cerebras
Cornami,Cornami,Cornami,4.18792E+14,fp16,30,dataflow,training,Chip,NW,,NW,,6/14/20,no peak,https://cornami.com/1416-2/,cornami2020cornami
Enflame,Cloudblazer T10,Enflame,8.00E+01,bf16,225,CPU,training,Card,NW,,NW,,6/13/21,,https://www.eenewsanalog.com/news/globalfoundries-aids-launch-chinese-ai-startup,clarke2019globalfoundries
Esperanto,ET-SoC-1,ES-1,5.00E+14,int8,120,CPU,inference,Card,NW,,NW,,7/31/23,,https://www.computer.org/csdl/magazine/mi/2022/03/09670721/1zUUV1zrRUA;https://fuse.wikichip.org/news/4911/a-look-at-the-et-soc-1-esperantos-massively-multi-core-risc-v-approach-to-ai/,ditzel2022accelerating;schor2021look
Flex Logix,InferX X1,FlexLogix,7.64E+12,int8,13.5,dataflow,inference,Chip,N,Hide,N,Hide,6/12/20,,https://flex-logix.com/wp-content/uploads/2020/04/Accelerator-Evaluation-on-Real-Edge-Inference-Applications-04_03_2020.pdf,mehta2020performance
Google,TPU Edge,TPUedge,4.00E+12,int8,2,tensor,inference,System,SE,,SE,,6/9/20,,https://aiyprojects.withgoogle.com/edge-tpu,tpu2019edge
